847.35,855.08,842.65,264.431,845.38
848.16,865.17,842.32,529.8284,865.08
865.32,865.32,850.03,235.9376,850.70
848.57,856.49,848.08,245.7726,851.78
851.78,859.09,846.02,316.9635,848.19
849.42,852.66,843.63,289.3512,848.63
847.88,854.33,842.27,360.4329,843.78
842.36,848.16,837.21,358.2315,843.53
846.12,850.85,841.70,297.872,842.73
836.99,836.99,824.01,403.1697,827.07
825.71,836.43,822.97,302.0863,831.43
831.99,833.07,820.34,275.3574,822.50
822.67,832.95,819.44,306.6086,823.62
823.77,833.65,821.00,247.9411,832.99
833.21,839.69,831.38,245.0098,837.86
837.36,837.80,831.18,163.2751,837.24
836.17,838.19,833.10,209.6694,834.22
834.35,845.55,828.05,362.7087,829.04
821.19,825.54,810.00,325.2217,811.55
811.32,817.69,805.37,371.9265,817.31
816.64,817.16,809.49,329.7547,810.99
807.40,810.87,801.07,364.9395,805.08
803.09,835.24,798.35,740.7806,831.85
847.07,851.24,831.08,648.6124,842.41
839.72,842.19,832.09,411.9281,841.64
840.82,844.07,833.64,301.8077,834.67
831.83,833.75,820.93,302.954,821.71
819.66,822.82,816.54,233.9918,820.69
817.93,819.35,810.72,258.8408,813.75
812.56,824.11,812.15,273.2303,817.87
819.24,860.88,819.24,777.4033,860.50
856.77,867.20,846.41,712.029,848.49
847.62,877.39,845.45,733.1555,872.88
877.97,884.99,871.38,505.6844,875.46
876.64,876.64,861.45,363.4848,870.09
869.40,870.53,855.42,352.1323,856.21
856.95,874.10,856.95,432.91,874.02
874.95,889.98,870.59,667.449,887.07
886.67,886.67,872.56,745.9593,877.91
875.73,878.14,870.04,547.5889,877.34
878.22,888.79,877.10,654.3358,878.50
878.55,878.66,864.65,484.7487,868.89
868.37,871.42,863.49,317.9948,866.26
866.08,875.07,855.28,595.1922,855.88
854.79,863.10,851.43,333.9214,861.69
862.11,866.58,858.13,298.3023,859.49
859.66,865.53,859.52,279.7013,863.70
867.83,876.88,863.60,525.7464,876.34
878.36,880.49,867.07,697.3993,869.40
869.02,869.10,850.04,559.1643,851.53
850.91,857.27,847.81,466.1695,853.90
853.35,865.82,844.18,553.7534,857.61
857.34,857.63,839.45,466.7624,840.96
839.60,840.59,829.40,390.4396,832.82
833.71,835.69,826.16,348.3096,826.68
826.06,830.20,818.80,340.2967,821.03
820.42,825.85,818.27,271.0832,823.13
822.61,823.22,805.51,421.2965,808.10
806.40,812.28,798.01,403.3777,801.98
800.80,808.87,795.84,368.0114,808.18
807.65,810.45,802.61,274.1211,806.42
805.41,805.91,795.46,219.9636,805.56
805.48,812.33,802.13,279.1488,802.74
800.96,800.96,790.19,338.953,790.58
788.01,795.79,783.98,329.9892,795.67
794.95,834.56,791.10,720.1383,822.91
814.59,818.80,805.85,458.191,808.59
806.51,813.88,800.09,402.2176,801.89
800.89,820.86,796.36,541.76,816.88
819.03,840.37,815.22,819.4266,824.61
824.32,838.51,818.90,485.474,838.06
838.29,841.64,827.80,549.5105,830.91
828.41,830.28,817.89,321.3688,818.47
826.91,842.48,826.91,573.4974,835.63
840.24,841.17,825.38,463.1111,826.01
822.13,822.13,814.98,365.6982,817.09
814.55,815.47,803.23,361.8395,806.39
805.52,811.07,802.59,360.9092,809.36
808.62,808.62,793.90,291.1894,798.52
